activity,patient
"[120.63333333333334, 25.133333333333333, 23.0, 0.4666666666666667, 27.2, 0.0, 2.7333333333333334, 10.166666666666666, 12.4, 1.5333333333333334, 17.666666666666668, 3.8666666666666667, 2.2666666666666666, 16.633333333333333, 2.933333333333333, 91.2, 43.36666666666667, 42.2, 6.9, 0.1, 7.166666666666667, 228.33333333333334, 70.9, 255.63333333333333, 268.56666666666666, 389.1333333333333, 128.9, 267.56666666666666, 137.76666666666668, 92.93333333333334, 79.73333333333333, 214.33333333333334, 25.466666666666665, 106.1, 72.33333333333333, 378.1, 266.56666666666666, 285.56666666666666, 322.06666666666666, 33.86666666666667, 108.93333333333334, 41.96666666666667, 46.4, 153.1, 25.0, 40.3, 15.833333333333334, 178.03333333333333]",1.0
"[3.033333333333333, 4.866666666666666, 15.533333333333333, 2.533333333333333, 1.4333333333333333, 8.4, 2.1, 6.333333333333333, 13.533333333333333, 0.3, 16.966666666666665, 18.133333333333333, 12.033333333333333, 11.566666666666666, 8.833333333333334, 41.8, 174.5, 272.8333333333333, 79.53333333333333, 302.3, 85.73333333333333, 365.6333333333333, 364.93333333333334, 360.06666666666666, 406.2, 356.76666666666665, 1070.6333333333334, 644.0, 741.5666666666667, 228.86666666666667, 199.6, 183.5, 103.13333333333334, 170.9, 529.7666666666667, 414.4, 254.96666666666667, 167.7, 162.6, 261.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666, 0.1, 0.26666666666666666, 0.0, 0.0, 29.9, 227.46666666666667, 198.63333333333333, 308.3666666666667, 276.2, 153.9, 298.3333333333333, 188.5, 126.1, 72.76666666666667, 176.5, 284.5, 164.8, 80.6, 405.73333333333335, 431.76666666666665, 292.03333333333336, 260.6666666666667, 88.5, 200.53333333333333, 342.8333333333333, 158.2, 304.23333333333335, 26.666666666666668, 31.033333333333335, 18.433333333333334, 46.3, 114.13333333333334, 43.266666666666666]",1.0
"[172.36666666666667, 0.26666666666666666, 9.1, 5.066666666666666, 17.333333333333332, 0.0, 15.033333333333333, 0.0, 28.3, 15.866666666666667, 0.0, 3.433333333333333, 4.5, 5.166666666666667, 18.933333333333334, 6.6, 40.4, 153.33333333333334, 133.0, 82.23333333333333, 66.63333333333334, 202.23333333333332, 146.93333333333334, 175.36666666666667, 309.8666666666667, 2268.766666666667, 1526.8, 2024.0, 425.9, 23.033333333333335, 20.566666666666666, 124.06666666666666, 116.83333333333333, 156.7, 162.76666666666668, 191.76666666666668, 53.9, 53.1, 83.43333333333334, 153.33333333333334, 39.06666666666667, 184.8, 110.23333333333333, 27.066666666666666, 29.9, 73.4, 68.46666666666667, 50.8]",1.0
"[82.23333333333333, 13.866666666666667, 10.4, 8.066666666666666, 9.433333333333334, 17.4, 3.6666666666666665, 4.966666666666667, 0.0, 36.36666666666667, 13.333333333333334, 2.933333333333333, 17.833333333333332, 4.5, 36.36666666666667, 3.7333333333333334, 122.63333333333334, 11.733333333333333, 0.0, 19.466666666666665, 204.83333333333334, 103.86666666666666, 379.6666666666667, 391.93333333333334, 310.6, 427.1666666666667, 92.43333333333334, 999.8, 23.166666666666668, 0.36666666666666664, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666, 0.0, 0.0, 46.96666666666667, 0.36666666666666664, 0.0, 0.0, 0.0, 13.133333333333333, 0.0, 0.0]",1.0
"[20.433333333333334, 30.633333333333333, 24.833333333333332, 26.333333333333332, 3.5, 14.7, 4.766666666666667, 4.233333333333333, 40.333333333333336, 149.8, 266.3333333333333, 48.56666666666667, 563.2333333333333, 390.43333333333334, 491.4, 162.83333333333334, 487.46666666666664, 328.1333333333333, 509.6, 491.3666666666667, 333.03333333333336, 1103.1333333333334, 441.1, 224.06666666666666, 231.86666666666667, 403.06666666666666, 591.8666666666667, 436.3, 288.6, 505.26666666666665, 385.8666666666667, 599.3666666666667, 545.2, 228.26666666666668, 279.0, 253.66666666666666, 228.63333333333333, 101.1, 61.4, 234.1, 43.1, 32.86666666666667, 681.1666666666666, 123.9, 10.233333333333333, 28.433333333333334, 6.433333333333334, 3.0]",2.0
"[3.0, 35.36666666666667, 3.033333333333333, 5.066666666666666, 6.3, 12.2, 54.7, 4.0, 29.466666666666665, 67.6, 204.26666666666668, 177.4, 493.26666666666665, 547.2, 252.2, 480.56666666666666, 339.1666666666667, 223.53333333333333, 603.0666666666667, 420.3666666666667, 248.16666666666666, 393.1333333333333, 413.7, 285.8333333333333, 289.1666666666667, 262.73333333333335, 140.46666666666667, 149.13333333333333, 486.7, 408.56666666666666, 591.0333333333333, 383.56666666666666, 508.9, 414.76666666666665, 243.83333333333334, 357.6333333333333, 801.7666666666667, 520.6, 286.8, 181.7, 170.96666666666667, 79.2, 4.166666666666667, 47.93333333333333, 25.433333333333334, 21.2, 26.0, 11.766666666666667]",2.0
"[8.366666666666667, 17.533333333333335, 18.866666666666667, 10.166666666666666, 24.4, 28.133333333333333, 28.233333333333334, 29.133333333333333, 15.933333333333334, 4.0, 17.166666666666668, 216.16666666666666, 33.766666666666666, 4.566666666666666, 18.733333333333334, 4.0, 8.966666666666667, 74.43333333333334, 514.6, 348.1, 226.56666666666666, 232.73333333333332, 492.6666666666667, 707.1333333333333, 571.8666666666667, 326.6666666666667, 249.36666666666667, 196.66666666666666, 284.2, 179.46666666666667, 238.96666666666667, 122.26666666666667, 355.8333333333333, 476.9, 240.8, 182.2, 268.8333333333333, 393.93333333333334, 6.0, 4.0, 15.1, 24.633333333333333, 9.466666666666667, 15.6, 87.0, 113.66666666666667, 3.8666666666666667, 8.7]",2.0
"[8.9, 12.166666666666666, 4.0, 17.2, 44.56666666666667, 18.766666666666666, 14.0, 156.0, 157.83333333333334, 8.833333333333334, 44.733333333333334, 6.866666666666666, 38.03333333333333, 16.933333333333334, 8.666666666666666, 407.9, 236.5, 177.96666666666667, 74.26666666666667, 329.8, 269.3333333333333, 556.0, 334.96666666666664, 376.6666666666667, 345.6666666666667, 144.43333333333334, 170.86666666666667, 213.46666666666667, 457.8333333333333, 175.26666666666668, 9.366666666666667, 12.1, 4.566666666666666, 7.766666666666667, 15.166666666666666, 8.533333333333333, 4.533333333333333, 195.56666666666666, 149.6, 111.93333333333334, 115.2, 30.533333333333335, 28.4, 9.466666666666667, 27.533333333333335, 12.266666666666667, 4.0, 15.3]",2.0
"[5.6, 34.8, 5.166666666666667, 14.933333333333334, 22.8, 5.333333333333333, 7.0, 32.333333333333336, 95.16666666666667, 123.7, 6.0, 26.5, 539.6, 414.53333333333336, 203.5, 342.23333333333335, 175.63333333333333, 333.3333333333333, 1194.4333333333334, 690.6, 614.3666666666667, 636.3, 638.7, 299.96666666666664, 235.3, 44.233333333333334, 485.5, 558.1, 702.2, 368.8333333333333, 548.3666666666667, 430.3333333333333, 233.73333333333332, 8.9, 80.76666666666667, 130.03333333333333, 3.566666666666667, 8.733333333333333, 7.866666666666666, 91.36666666666666, 157.86666666666667, 20.1, 3.3666666666666667, 10.8, 11.233333333333333, 66.56666666666666, 75.2, 32.5]",2.0
"[22.933333333333334, 8.166666666666666, 5.866666666666666, 12.7, 13.333333333333334, 4.033333333333333, 21.333333333333332, 11.566666666666666, 6.966666666666667, 70.96666666666667, 77.73333333333333, 18.0, 427.76666666666665, 371.1333333333333, 229.73333333333332, 339.93333333333334, 215.06666666666666, 461.3666666666667, 1379.0666666666666, 501.03333333333336, 1277.4666666666667, 885.2666666666667, 401.1333333333333, 154.2, 102.7, 504.3333333333333, 371.1666666666667, 806.0, 532.4666666666667, 712.1333333333333, 262.9, 4.533333333333333, 14.766666666666667, 429.96666666666664, 190.73333333333332, 354.26666666666665, 187.66666666666666, 70.33333333333333, 3.5, 9.266666666666667, 8.333333333333334, 12.066666666666666, 13.466666666666667, 12.4, 10.866666666666667, 13.6, 15.366666666666667, 6.566666666666666]",2.0
"[12.766666666666667, 145.96666666666667, 9.233333333333333, 3.1, 13.933333333333334, 17.9, 17.866666666666667, 16.9, 5.433333333333334, 74.56666666666666, 111.63333333333334, 6.966666666666667, 445.1333333333333, 486.53333333333336, 386.6, 220.96666666666667, 575.1666666666666, 1004.8, 189.9, 439.3333333333333, 1229.6333333333334, 808.4666666666667, 334.6666666666667, 277.8, 250.8, 409.56666666666666, 381.1, 330.96666666666664, 104.26666666666667, 473.2, 595.9666666666667, 454.1333333333333, 394.0, 233.96666666666667, 4.0, 16.933333333333334, 8.6, 13.8, 12.233333333333333, 8.833333333333334, 4.066666666666666, 7.8, 7.766666666666667, 188.2, 39.03333333333333, 45.53333333333333, 17.733333333333334, 33.5]",2.0
"[7.666666666666667, 16.033333333333335, 8.666666666666666, 134.8, 4.0, 6.366666666666666, 32.93333333333333, 14.833333333333334, 4.166666666666667, 190.2, 89.8, 63.06666666666667, 514.1666666666666, 458.5, 259.6666666666667, 780.2666666666667, 565.3666666666667, 1278.5, 2005.3333333333333, 2186.633333333333, 500.03333333333336, 305.2, 378.06666666666666, 190.53333333333333, 251.4, 681.7333333333333, 1267.5333333333333, 1176.0666666666666, 793.4333333333333, 678.5, 500.6666666666667, 20.0, 7.1, 13.433333333333334, 9.533333333333333, 12.533333333333333, 13.866666666666667, 17.3, 160.2, 109.73333333333333, 219.06666666666666, 144.26666666666668, 73.86666666666666, 11.266666666666667, 25.866666666666667, 28.866666666666667, 9.233333333333333, 8.366666666666667]",2.0
"[6.333333333333333, 8.6, 17.533333333333335, 12.0, 11.533333333333333, 99.8, 76.66666666666667, 4.0, 21.2, 325.6333333333333, 136.46666666666667, 91.83333333333333, 499.1, 321.3333333333333, 381.73333333333335, 398.6333333333333, 577.2, 1459.6666666666667, 683.0666666666667, 633.2333333333333, 394.3, 340.43333333333334, 256.5, 410.03333333333336, 592.8666666666667, 511.7, 733.8, 741.6333333333333, 497.53333333333336, 743.7, 624.1333333333333, 272.3666666666667, 110.86666666666666, 146.0, 11.266666666666667, 13.5, 8.033333333333333, 283.8666666666667, 275.6, 113.16666666666667, 212.96666666666667, 100.23333333333333, 132.53333333333333, 45.833333333333336, 14.733333333333333, 5.5, 23.433333333333334, 12.2]",2.0
"[16.933333333333334, 30.333333333333332, 10.2, 5.366666666666666, 8.333333333333334, 22.1, 9.833333333333334, 14.633333333333333, 54.766666666666666, 4.833333333333333, 12.833333333333334, 241.1, 338.76666666666665, 400.46666666666664, 682.7333333333333, 470.9, 213.26666666666668, 254.83333333333334, 190.5, 396.56666666666666, 483.03333333333336, 247.86666666666667, 319.9, 391.6666666666667, 262.26666666666665, 508.93333333333334, 266.06666666666666, 165.13333333333333, 252.2, 132.5, 187.1, 280.5, 215.23333333333332, 278.1333333333333, 291.06666666666666, 441.76666666666665, 401.1666666666667, 8.866666666666667, 6.866666666666666, 22.7, 17.966666666666665, 5.733333333333333, 9.933333333333334, 11.1, 9.8, 13.4, 8.9, 28.8]",2.0
"[7.266666666666667, 17.166666666666668, 7.833333333333333, 15.566666666666666, 6.2, 40.833333333333336, 24.233333333333334, 13.033333333333333, 9.033333333333333, 9.133333333333333, 33.96666666666667, 190.13333333333333, 202.76666666666668, 196.83333333333334, 213.7, 344.6333333333333, 236.96666666666667, 210.66666666666666, 308.6333333333333, 165.96666666666667, 335.46666666666664, 385.1, 168.0, 241.06666666666666, 234.26666666666668, 168.2, 297.9, 121.86666666666666, 137.26666666666668, 190.83333333333334, 171.96666666666667, 125.3, 33.7, 4.333333333333333, 8.433333333333334, 23.866666666666667, 7.2, 12.5, 8.466666666666667, 12.533333333333333, 18.2, 14.1, 31.1, 15.533333333333333, 116.86666666666666, 50.43333333333333, 22.9, 39.56666666666667]",2.0
"[180.9, 201.03333333333333, 162.43333333333334, 127.8, 105.63333333333334, 14.4, 32.03333333333333, 12.4, 11.9, 31.033333333333335, 28.466666666666665, 9.3, 62.166666666666664, 228.33333333333334, 117.53333333333333, 6.933333333333334, 6.8, 51.7, 240.43333333333334, 146.7, 90.03333333333333, 18.833333333333332, 99.63333333333334, 317.3, 124.3, 225.56666666666666, 4.0, 5.666666666666667, 8.533333333333333, 11.833333333333334, 8.333333333333334, 6.733333333333333, 9.1, 20.266666666666666, 120.33333333333333, 168.7, 101.43333333333334, 54.2, 6.766666666666667, 18.133333333333333, 4.733333333333333, 11.066666666666666, 13.733333333333333, 14.1, 5.8, 13.666666666666666, 21.466666666666665, 27.366666666666667]",2.0
"[8.9, 26.866666666666667, 36.43333333333333, 21.733333333333334, 12.9, 24.266666666666666, 15.266666666666667, 6.133333333333334, 46.13333333333333, 217.16666666666666, 215.83333333333334, 66.53333333333333, 455.8333333333333, 648.5333333333333, 421.5, 661.2333333333333, 629.2333333333333, 437.03333333333336, 558.9, 586.4, 1210.1333333333334, 606.7666666666667, 222.83333333333334, 537.8666666666667, 121.66666666666667, 348.53333333333336, 459.8, 303.0, 78.4, 135.56666666666666, 385.9, 453.1, 275.3333333333333, 235.23333333333332, 227.2, 127.43333333333334, 72.83333333333333, 295.1666666666667, 10.833333333333334, 33.9, 28.966666666666665, 4.066666666666666, 14.7, 7.8, 9.766666666666667, 14.3, 42.4, 11.066666666666666]",2.0
"[6.3, 51.7, 10.4, 32.03333333333333, 4.9, 38.1, 40.53333333333333, 12.033333333333333, 9.9, 108.76666666666667, 49.56666666666667, 98.0, 504.93333333333334, 401.6666666666667, 331.76666666666665, 197.06666666666666, 736.3333333333334, 1104.2666666666667, 926.8333333333334, 1322.1333333333334, 1258.0, 551.5, 344.76666666666665, 169.8, 243.93333333333334, 374.5, 511.03333333333336, 527.5333333333333, 1207.1333333333334, 1229.4, 733.7666666666667, 246.76666666666668, 13.833333333333334, 4.0, 12.733333333333333, 6.433333333333334, 19.466666666666665, 8.5, 141.8, 4.0, 16.533333333333335, 10.7, 14.466666666666667, 95.6, 26.133333333333333, 6.4, 10.533333333333333, 21.366666666666667]",2.0
"[14.533333333333333, 11.4, 15.733333333333333, 45.93333333333333, 73.33333333333333, 4.0, 22.433333333333334, 11.3, 13.4, 53.53333333333333, 45.86666666666667, 29.666666666666668, 481.1333333333333, 682.8666666666667, 720.2333333333333, 1026.2333333333333, 1074.4666666666667, 1364.9666666666667, 900.4, 211.36666666666667, 1531.8333333333333, 870.4666666666667, 296.03333333333336, 1627.7666666666667, 1539.6333333333334, 528.5, 311.56666666666666, 245.86666666666667, 135.66666666666666, 285.03333333333336, 510.2, 331.3333333333333, 138.0, 485.6333333333333, 191.86666666666667, 179.5, 12.333333333333334, 18.1, 20.333333333333332, 12.6, 20.1, 9.466666666666667, 6.3, 13.566666666666666, 17.1, 117.03333333333333, 26.833333333333332, 5.6]",2.0
"[12.033333333333333, 31.7, 15.366666666666667, 11.233333333333333, 13.166666666666666, 31.933333333333334, 6.0, 21.566666666666666, 12.233333333333333, 35.63333333333333, 196.96666666666667, 7.0, 577.6333333333333, 404.96666666666664, 763.5666666666667, 1803.7, 345.96666666666664, 527.3333333333334, 395.8, 1015.1666666666666, 766.6666666666666, 774.0666666666667, 543.1333333333333, 332.23333333333335, 429.6666666666667, 399.73333333333335, 414.56666666666666, 588.9, 777.1333333333333, 124.96666666666667, 491.1666666666667, 88.26666666666667, 249.26666666666668, 132.23333333333332, 177.43333333333334, 177.9, 53.5, 21.0, 34.733333333333334, 26.5, 43.46666666666667, 50.06666666666667, 59.833333333333336, 15.233333333333333, 74.56666666666666, 144.7, 29.1, 27.633333333333333]",2.0
"[21.966666666666665, 37.8, 24.533333333333335, 108.63333333333334, 59.333333333333336, 41.46666666666667, 67.9, 30.766666666666666, 28.9, 10.233333333333333, 56.93333333333333, 22.566666666666666, 49.766666666666666, 8.0, 145.03333333333333, 266.4, 299.1, 412.6666666666667, 212.53333333333333, 356.8333333333333, 244.9, 123.13333333333334, 563.1, 506.56666666666666, 358.26666666666665, 555.6333333333333, 266.2, 778.5, 470.0, 127.36666666666666, 28.4, 4.8, 14.366666666666667, 8.0, 59.8, 208.86666666666667, 16.4, 4.166666666666667, 6.8, 13.866666666666667, 20.033333333333335, 16.966666666666665, 7.733333333333333, 4.566666666666666, 30.266666666666666, 29.1, 6.3, 7.466666666666667]",2.0
"[8.6, 18.966666666666665, 10.8, 129.76666666666668, 18.166666666666668, 19.866666666666667, 31.5, 15.366666666666667, 6.533333333333333, 42.13333333333333, 20.5, 17.5, 237.7, 253.63333333333333, 184.56666666666666, 182.7, 96.0, 43.93333333333333, 276.7, 86.3, 386.1, 320.06666666666666, 388.1, 434.1666666666667, 53.9, 4.0, 12.533333333333333, 10.866666666666667, 11.5, 6.166666666666667, 9.133333333333333, 8.4, 177.53333333333333, 133.86666666666667, 4.233333333333333, 6.6, 13.266666666666667, 4.3, 112.03333333333333, 9.833333333333334, 13.866666666666667, 18.566666666666666, 7.866666666666666, 13.633333333333333, 29.733333333333334, 35.1, 22.533333333333335, 4.2]",2.0
"[16.466666666666665, 13.366666666666667, 6.9, 7.9, 176.66666666666666, 39.03333333333333, 102.96666666666667, 8.7, 19.833333333333332, 17.666666666666668, 300.23333333333335, 28.6, 401.0, 451.1, 287.2, 402.23333333333335, 425.0, 425.46666666666664, 130.76666666666668, 751.7333333333333, 568.7333333333333, 617.0, 333.2, 196.6, 399.5, 496.43333333333334, 506.1666666666667, 841.7666666666667, 503.76666666666665, 556.1, 295.96666666666664, 436.26666666666665, 107.96666666666667, 6.9, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]",2.0
"[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.4, 7.733333333333333, 8.0, 8.0, 8.0, 9.233333333333333, 8.533333333333333, 7.266666666666667, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.133333333333334, 7.933333333333334, 8.0, 8.066666666666666, 8.666666666666666, 9.0]",2.0
"[9.0, 9.0, 9.0, 9.0, 9.066666666666666, 8.866666666666667, 8.833333333333334, 9.2, 9.366666666666667, 8.5, 9.0, 9.0, 9.766666666666667, 9.0, 9.0, 7.766666666666667, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.866666666666666, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.133333333333333, 9.0, 9.0, 9.0, 9.0, 9.4, 9.0, 9.0, 7.666666666666667, 9.466666666666667, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]",2.0
"[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.6, 8.0, 8.0, 8.466666666666667, 8.8, 9.0, 9.0, 9.0, 9.0, 9.0, 10.033333333333333, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.4, 9.4, 9.366666666666667, 9.5, 9.066666666666666, 9.0, 9.0, 9.5, 9.0, 9.0, 9.0, 9.0, 9.4, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.066666666666666, 9.133333333333333, 9.033333333333333]",2.0
"[9.166666666666666, 9.433333333333334, 9.4, 9.466666666666667, 9.466666666666667, 9.5, 9.5, 9.5, 9.0, 9.766666666666667, 9.5, 9.5, 8.8, 7.166666666666667, 9.766666666666667, 8.066666666666666, 8.266666666666667, 8.8, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.866666666666667, 8.8, 8.6, 8.266666666666667, 8.0, 7.933333333333334, 7.8, 8.0, 7.866666666666666, 9.366666666666667, 7.866666666666666, 8.0, 7.933333333333334, 8.0, 8.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]",2.0
